,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
609,the hobbit: the desolation of smaug,"adventure, fantasy",dwarv along bilbo baggin gandalf grey continu quest reclaim erebor homeland smaug bilbo baggin possess mysteri magic ring,peter jackson,ian mckellen,martin freeman,richard armitage,ken stott,"the hobbit: the desolation of smaug adventure, fantasy dwarv along bilbo baggin gandalf grey continu quest reclaim erebor homeland smaug bilbo baggin possess mysteri magic ring peter jackson ian mckellen martin freeman richard armitage ken stott"
610,das weiße band - eine deutsche kindergeschichte,"drama, history, mystery",strang event happen small villag north germani year world war seem ritual punish respons,michael haneke,christian friedel,ernst jacobi,leonie benesch,ulrich tukur,"das weiße band - eine deutsche kindergeschichte drama, history, mystery strang event happen small villag north germani year world war seem ritual punish respons michael haneke christian friedel ernst jacobi leonie benesch ulrich tukur"
611,män som hatar kvinnor,"crime, drama, mystery",journalist aid young femal hacker search killer woman dead forti year,niels arden oplev,michael nyqvist,noomi rapace,ewa fröling,lena endre,"män som hatar kvinnor crime, drama, mystery journalist aid young femal hacker search killer woman dead forti year niels arden oplev michael nyqvist noomi rapace ewa fröling lena endre"
612,the trial of the chicago 7,"drama, history, thriller",stori peopl trial stem variou charg surround upris democrat nation convent chicago illinoi,aaron sorkin,eddie redmayne,alex sharp,sacha baron cohen,jeremy strong,"the trial of the chicago 7 drama, history, thriller stori peopl trial stem variou charg surround upris democrat nation convent chicago illinoi aaron sorkin eddie redmayne alex sharp sacha baron cohen jeremy strong"
613,druk,"comedy, drama",four friend high school teacher test theori improv live maintain constant level alcohol blood,thomas vinterberg,mads mikkelsen,thomas bo larsen,magnus millang,lars ranthe,"druk comedy, drama four friend high school teacher test theori improv live maintain constant level alcohol blood thomas vinterberg mads mikkelsen thomas bo larsen magnus millang lars ranthe"
614,the fighter,"biography, drama, sport",base stori micki ward fledgl boxer tri escap shadow famou troubl older box brother get shot great,david o. russell,mark wahlberg,christian bale,amy adams,melissa leo,"the fighter biography, drama, sport base stori micki ward fledgl boxer tri escap shadow famou troubl older box brother get shot great david o. russell mark wahlberg christian bale amy adams melissa leo"
615,taken,"action, thriller",retir cia agent travel across europ reli old skill save estrang daughter kidnap trip pari,pierre morel,liam neeson,maggie grace,famke janssen,leland orser,"taken action, thriller retir cia agent travel across europ reli old skill save estrang daughter kidnap trip pari pierre morel liam neeson maggie grace famke janssen leland orser"
616,the boy in the striped pyjamas,"drama, history, war",innoc eye bruno eightyearold son command german concentr camp forbidden friendship jewish boy side camp fenc startl unexpect consequ,mark herman,asa butterfield,david thewlis,rupert friend,zac mattoon o'brien,"the boy in the striped pyjamas drama, history, war innoc eye bruno eightyearold son command german concentr camp forbidden friendship jewish boy side camp fenc startl unexpect consequ mark herman asa butterfield david thewlis rupert friend zac mattoon o'brien"
617,once,"drama, music, romance",modernday music busker immigr event week dublin write rehears record song tell love stori,john carney,glen hansard,markéta irglová,hugh walsh,gerard hendrick,"once drama, music, romance modernday music busker immigr event week dublin write rehears record song tell love stori john carney glen hansard markéta irglová hugh walsh gerard hendrick"
618,the hobbit: an unexpected journey,"adventure, fantasy",reluct hobbit bilbo baggin set lone mountain spirit group dwarv reclaim mountain home gold within dragon smaug,peter jackson,martin freeman,ian mckellen,richard armitage,andy serkis,"the hobbit: an unexpected journey adventure, fantasy reluct hobbit bilbo baggin set lone mountain spirit group dwarv reclaim mountain home gold within dragon smaug peter jackson martin freeman ian mckellen richard armitage andy serkis"
619,auf der anderen seite,drama,turkish man travel istanbul find daughter father former girlfriend,fatih akin,baki davrak,nurgül yesilçay,tuncel kurtiz,nursel köse,auf der anderen seite drama turkish man travel istanbul find daughter father former girlfriend fatih akin baki davrak nurgül yesilçay tuncel kurtiz nursel köse
620,atonement,"drama, mystery, romance",thirteenyearold fledgl writer brioni talli irrevoc chang cours sever live accus older sister lover crime commit,joe wright,keira knightley,james mcavoy,brenda blethyn,saoirse ronan,"atonement drama, mystery, romance thirteenyearold fledgl writer brioni talli irrevoc chang cours sever live accus older sister lover crime commit joe wright keira knightley james mcavoy brenda blethyn saoirse ronan"
621,drive,"crime, drama",mysteri hollywood stuntman mechan moonlight getaway driver find troubl help neighbor,nicolas winding refn,ryan gosling,carey mulligan,bryan cranston,albert brooks,"drive crime, drama mysteri hollywood stuntman mechan moonlight getaway driver find troubl help neighbor nicolas winding refn ryan gosling carey mulligan bryan cranston albert brooks"
622,american gangster,"biography, crime, drama",outcast new york citi cop charg bring harlem drug lord frank luca whose real life inspir partli biograph film,ridley scott,denzel washington,russell crowe,chiwetel ejiofor,josh brolin,"american gangster biography, crime, drama outcast new york citi cop charg bring harlem drug lord frank luca whose real life inspir partli biograph film ridley scott denzel washington russell crowe chiwetel ejiofor josh brolin"
623,avatar,"action, adventure, fantasy",parapleg marin dispatch moon pandora uniqu mission becom torn follow order protect world feel home,james cameron,sam worthington,zoe saldana,sigourney weaver,michelle rodriguez,"avatar action, adventure, fantasy parapleg marin dispatch moon pandora uniqu mission becom torn follow order protect world feel home james cameron sam worthington zoe saldana sigourney weaver michelle rodriguez"
624,mr. nobody,"drama, fantasy, romance",boy stand station platform train leav go mother stay father infinit possibl aris decis long doesnt choos anyth possibl,jaco van dormael,jared leto,sarah polley,diane kruger,linh dan pham,"mr. nobody drama, fantasy, romance boy stand station platform train leav go mother stay father infinit possibl aris decis long doesnt choos anyth possibl jaco van dormael jared leto sarah polley diane kruger linh dan pham"
625,apocalypto,"action, adventure, drama",mayan kingdom face declin young man taken peril journey world rule fear oppress,mel gibson,gerardo taracena,raoul max trujillo,dalia hernández,rudy youngblood,"apocalypto action, adventure, drama mayan kingdom face declin young man taken peril journey world rule fear oppress mel gibson gerardo taracena raoul max trujillo dalia hernández rudy youngblood"
626,little miss sunshine,"comedy, drama",famili determin get young daughter final beauti pageant take crosscountri trip vw bu,jonathan dayton,valerie faris,steve carell,toni collette,greg kinnear,"little miss sunshine comedy, drama famili determin get young daughter final beauti pageant take crosscountri trip vw bu jonathan dayton valerie faris steve carell toni collette greg kinnear"
627,hot fuzz,"action, comedy, mystery",skill london polic offic transfer small town dark secret,edgar wright,simon pegg,nick frost,martin freeman,bill nighy,"hot fuzz action, comedy, mystery skill london polic offic transfer small town dark secret edgar wright simon pegg nick frost martin freeman bill nighy"
628,the curious case of benjamin button,"drama, fantasy, romance",tell stori benjamin button man start age backward consequ,david fincher,brad pitt,cate blanchett,tilda swinton,julia ormond,"the curious case of benjamin button drama, fantasy, romance tell stori benjamin button man start age backward consequ david fincher brad pitt cate blanchett tilda swinton julia ormond"
629,veer-zaara,"drama, family, musical",veerzaara saga love separ courag sacrific love stori inspir remain legend forev,yash chopra,shah rukh khan,preity zinta,rani mukerji,kirron kher,"veer-zaara drama, family, musical veerzaara saga love separ courag sacrific love stori inspir remain legend forev yash chopra shah rukh khan preity zinta rani mukerji kirron kher"
630,adams æbler,"comedy, crime, drama",neonazi sentenc commun servic church clash blindli devot priest,anders thomas jensen,ulrich thomsen,mads mikkelsen,nicolas bro,paprika steen,"adams æbler comedy, crime, drama neonazi sentenc commun servic church clash blindli devot priest anders thomas jensen ulrich thomsen mads mikkelsen nicolas bro paprika steen"
631,pride & prejudice,"drama, romance",spark fli spirit elizabeth bennet meet singl rich proud mr darci mr darci reluctantli find fall love woman beneath class overcom pride prejudic,joe wright,keira knightley,matthew macfadyen,brenda blethyn,donald sutherland,"pride & prejudice drama, romance spark fli spirit elizabeth bennet meet singl rich proud mr darci mr darci reluctantli find fall love woman beneath class overcom pride prejudic joe wright keira knightley matthew macfadyen brenda blethyn donald sutherland"
632,the world's fastest indian,"biography, drama, sport",stori new zealand burt munro spent year rebuild indian motorcycl help set land speed world record utah bonnevil salt flat,roger donaldson,anthony hopkins,diane ladd,iain rea,tessa mitchell,"the world's fastest indian biography, drama, sport stori new zealand burt munro spent year rebuild indian motorcycl help set land speed world record utah bonnevil salt flat roger donaldson anthony hopkins diane ladd iain rea tessa mitchell"
